,HYBAS_ID,NEXT_DOWN,MAIN_BAS
183,7090884712,7090884711,7090001221
184,7090884681,7090884732,7090001221
185,7090884682,7090884681,7090001221
186,7099165571,7090884682,7090001221
187,7090884691,7090884732,7090001221
188,7090884692,7090884691,7090001221
189,7090884591,7090884682,7090001221
190,7090884592,7090884591,7090001221
191,7090884581,7090884682,7090001221
192,7090884582,7090884581,7090001221
193,7090884520,7090884582,7090001221
194,7090884530,7090884582,7090001221
195,7090001230,0,7090001230
196,7090001270,0,7090001270
197,7090001280,0,7090001280
198,7090001361,0,7090001361
199,7090001362,7090001361,7090001361
200,7099160742,7090001362,7090001361
201,7090884221,7090001362,7090001361
202,7090884222,7090884221,7090001361
203,7090884231,7090001362,7090001361
204,7090884232,7090884231,7090001361
205,7090884191,7090884222,7090001361
206,7090884192,7090884191,7090001361
207,7090884180,7090884222,7090001361
208,7090001370,0,7090001370
209,7090001390,0,7090001390
210,7090001400,0,7090001400
211,7090001421,0,7090001421
212,7090001422,7090001421,7090001421
213,7099122871,7090001422,7090001421
214,7090884151,7090001422,7090001421
215,7090884152,7090884151,7090001421
216,7090884141,7090001422,7090001421
217,7090884142,7090884141,7090001421
218,7090884041,7090884142,7090001421
219,7090884042,7090884041,7090001421
220,7090884020,7090884142,7090001421
221,7090884051,7090884042,7090001421
222,7090884052,7090884051,7090001421
223,7090884030,7090884042,7090001421
224,7090884000,7090884052,7090001421
225,7090884011,7090884052,7090001421
226,7090884012,7090884011,7090001421
227,7090001430,0,7090001430
228,7090001450,0,7090001450
229,7090001460,0,7090001460
230,7090001480,0,7090001480
231,7090001490,0,7090001490
232,7090001540,0,7090001540
233,7090001550,0,7090001550
234,7090001590,0,7090001590
235,7090001600,0,7090001600
236,7090001620,0,7090001620
237,7090883800,7090001620,7090001620
238,7090883810,7090001620,7090001620
239,7090883720,7090883800,7090001620
240,7090883730,7090883800,7090001620
241,7090883630,7090883720,7090001620
242,7090883640,7090883720,7090001620
243,7090883560,7090883630,7090001620
244,7090883570,7090883630,7090001620
245,7090001630,0,7090001630
246,7090001650,0,7090001650
247,7090883650,7090001650,7090001650
248,7090883620,7090001650,7090001650
249,7090883540,7090883620,7090001650
250,7090883550,7090883620,7090001650
251,7090883440,7090883540,7090001650
252,7090883430,7090883540,7090001650
253,7090883490,7090883430,7090001650
254,7090883390,7090883430,7090001650
255,7090883370,7090883490,7090001650
256,7090883360,7090883490,7090001650
257,7090883140,7090883370,7090001650
258,7090883150,7090883370,7090001650
259,7090883040,7090883140,7090001650
260,7090883050,7090883140,7090001650
261,7090001660,0,7090001660
262,7090001700,0,7090001700
263,7090001710,0,7090001710
264,7090001740,0,7090001740
265,7090001750,0,7090001750
266,7090001810,0,7090001810
267,7090001820,0,7090001820
268,7090001830,0,7090001830
269,7090001840,0,7090001840
270,7090001850,0,7090001850
271,7090001860,0,7090001860
272,7090001910,0,7090001910
273,7090001920,0,7090001920
274,7090001970,0,7090001970
275,7090001980,0,7090001980
276,7090001990,0,7090001990
277,7090002000,0,7090002000
278,7090002010,0,7090002010
279,7090002020,0,7090002020
280,7090002030,0,7090002030
281,7090002040,0,7090002040
282,7090002050,0,7090002050
283,7090002060,0,7090002060
284,7090002070,0,7090002070
285,7090002080,0,7090002080
286,7090002090,0,7090002090
287,7090002100,0,7090002100
288,7090002110,0,7090002110
289,7090002120,0,7090002120
290,7090002160,0,7090002160
291,7090002170,0,7090002170
292,7090002180,0,7090002180
293,7090002190,0,7090002190
294,7090002200,0,7090002200
295,7090002210,0,7090002210
296,7090002260,0,7090002260
297,7090002270,0,7090002270
298,7090002280,0,7090002280
299,7090002290,0,7090002290
300,7090002310,0,7090002310
301,7090002320,0,7090002320
302,7099038210,7090002320,7090002320
303,7090002341,0,7090002341
304,7090002342,7090002341,7090002341
305,7090879461,7090002342,7090002341
306,7090879462,7090879461,7090002341
307,7090879501,7090002342,7090002341
308,7090879502,7090879501,7090002341
309,7090879341,7090879462,7090002341
310,7090879342,7090879341,7090002341
311,7090879391,7090879462,7090002341
312,7090879392,7090879391,7090002341
313,7090879620,7090879392,7090002341
314,7090879601,7090879392,7090002341
315,7090879602,7090879601,7090002341
316,7090879470,7090879602,7090002341
